predicted_label|	stack|	buffer|	dependencies|	sentence
SHIFT|	[0, 3, 4]|	[5]|	[(3, 2, 'k2'), (3, 1, 'k1')]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
LEFTARC#k2|	[0, 3, 4, 5]|	[]|	[(3, 2, 'k2'), (3, 1, 'k1')]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
LEFTARC#vmod|	[0, 3, 5]|	[]|	[(3, 2, 'k2'), (3, 1, 'k1'), (5, 4, 'k2')]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
RIGHTARC#root|	[0, 5]|	[]|	[(3, 2, 'k2'), (3, 1, 'k1'), (5, 4, 'k2'), (5, 3, 'vmod')]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
LEFTARC#k2|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
LEFTARC#k1|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k2')]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
LEFTARC#k7t|	[0, 1, 4]|	[]|	[(4, 3, 'k2'), (4, 2, 'k1')]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k2'), (4, 2, 'k1'), (4, 1, 'k7t')]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT wulasiki weVliSAyi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT wulasiki weVliSAyi
LEFTARC#k1|	[0, 1, 2]|	[]|	[]|	ROOT wulasiki weVliSAyi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k1')]|	ROOT wulasiki weVliSAyi
SHIFT|	[0]|	[1, 2, 3, 4, 5, 6, 7]|	[]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0, 1]|	[2, 3, 4, 5, 6, 7]|	[]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
LEFTARC#k2|	[0, 1, 2]|	[3, 4, 5, 6, 7]|	[]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0, 2]|	[3, 4, 5, 6, 7]|	[(2, 1, 'k2')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0, 2, 3]|	[4, 5, 6, 7]|	[(2, 1, 'k2')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0, 2, 3, 4]|	[5, 6, 7]|	[(2, 1, 'k2')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
LEFTARC#pof|	[0, 2, 3, 4, 5]|	[6, 7]|	[(2, 1, 'k2')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
LEFTARC#k1|	[0, 2, 3, 5]|	[6, 7]|	[(2, 1, 'k2'), (5, 4, 'pof')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
LEFTARC#vmod|	[0, 2, 5]|	[6, 7]|	[(2, 1, 'k2'), (5, 4, 'pof'), (5, 3, 'k1')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0, 5]|	[6, 7]|	[(2, 1, 'k2'), (5, 4, 'pof'), (5, 3, 'k1'), (5, 2, 'vmod')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
LEFTARC#ccof|	[0, 5, 6]|	[7]|	[(2, 1, 'k2'), (5, 4, 'pof'), (5, 3, 'k1'), (5, 2, 'vmod')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0, 6]|	[7]|	[(2, 1, 'k2'), (5, 4, 'pof'), (5, 3, 'k1'), (5, 2, 'vmod'), (6, 5, 'ccof')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
LEFTARC#k2|	[0, 6, 7]|	[]|	[(2, 1, 'k2'), (5, 4, 'pof'), (5, 3, 'k1'), (5, 2, 'vmod'), (6, 5, 'ccof')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
RIGHTARC#root|	[0, 7]|	[]|	[(2, 1, 'k2'), (5, 4, 'pof'), (5, 3, 'k1'), (5, 2, 'vmod'), (6, 5, 'ccof'), (7, 6, 'k2')]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
LEFTARC#pof|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
LEFTARC#k2|	[0, 1, 2, 4]|	[]|	[(4, 3, 'pof')]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
LEFTARC#k7t|	[0, 1, 4]|	[]|	[(4, 3, 'pof'), (4, 2, 'k2')]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'pof'), (4, 2, 'k2'), (4, 1, 'k7t')]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
LEFTARC#k7t|	[0, 1, 2]|	[3, 4]|	[]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
SHIFT|	[0, 2]|	[3, 4]|	[(2, 1, 'k7t')]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
SHIFT|	[0, 2, 3]|	[4]|	[(2, 1, 'k7t')]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
LEFTARC#k2|	[0, 2, 3, 4]|	[]|	[(2, 1, 'k7t')]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
LEFTARC#vmod|	[0, 2, 4]|	[]|	[(2, 1, 'k7t'), (4, 3, 'k2')]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
RIGHTARC#root|	[0, 4]|	[]|	[(2, 1, 'k7t'), (4, 3, 'k2'), (4, 2, 'vmod')]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT baruvu peVragakuMdA cUsukovAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT baruvu peVragakuMdA cUsukovAli
LEFTARC#k1|	[0, 1, 2]|	[3]|	[]|	ROOT baruvu peVragakuMdA cUsukovAli
SHIFT|	[0, 2]|	[3]|	[(2, 1, 'k1')]|	ROOT baruvu peVragakuMdA cUsukovAli
LEFTARC#vmod|	[0, 2, 3]|	[]|	[(2, 1, 'k1')]|	ROOT baruvu peVragakuMdA cUsukovAli
RIGHTARC#root|	[0, 3]|	[]|	[(2, 1, 'k1'), (3, 2, 'vmod')]|	ROOT baruvu peVragakuMdA cUsukovAli
SHIFT|	[0]|	[1, 2]|	[]|	ROOT maMxulu mAnakUdaxu
SHIFT|	[0, 1]|	[2]|	[]|	ROOT maMxulu mAnakUdaxu
LEFTARC#k2|	[0, 1, 2]|	[]|	[]|	ROOT maMxulu mAnakUdaxu
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k2')]|	ROOT maMxulu mAnakUdaxu
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
LEFTARC#k2|	[0, 1, 2, 3]|	[]|	[]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
LEFTARC#k5|	[0, 1, 3]|	[]|	[(3, 2, 'k2')]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k2'), (3, 1, 'k5')]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT paMta bAgA uMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT paMta bAgA uMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT paMta bAgA uMxi
LEFTARC#adv|	[0, 1, 2, 3]|	[]|	[]|	ROOT paMta bAgA uMxi
LEFTARC#k1|	[0, 1, 3]|	[]|	[(3, 2, 'adv')]|	ROOT paMta bAgA uMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'adv'), (3, 1, 'k1')]|	ROOT paMta bAgA uMxi
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
LEFTARC#ccof|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
SHIFT|	[0, 2]|	[3, 4, 5]|	[(2, 1, 'ccof')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
RIGHTARC#ccof|	[0, 2, 3]|	[4, 5]|	[(2, 1, 'ccof')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
SHIFT|	[0, 2]|	[4, 5]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
SHIFT|	[0, 2, 4]|	[5]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
LEFTARC#vmod|	[0, 2, 4, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
LEFTARC#k2|	[0, 2, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof'), (5, 4, 'vmod')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
RIGHTARC#root|	[0, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof'), (5, 4, 'vmod'), (5, 2, 'k2')]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT peVlYli ayiMxi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT peVlYli ayiMxi
LEFTARC#k1|	[0, 1, 2]|	[]|	[]|	ROOT peVlYli ayiMxi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k1')]|	ROOT peVlYli ayiMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT puruduku vacciMxi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT puruduku vacciMxi
LEFTARC#rt|	[0, 1, 2]|	[]|	[]|	ROOT puruduku vacciMxi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'rt')]|	ROOT puruduku vacciMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT rojU bayata wiragAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT rojU bayata wiragAli
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT rojU bayata wiragAli
LEFTARC#k7p|	[0, 1, 2, 3]|	[]|	[]|	ROOT rojU bayata wiragAli
LEFTARC#adv|	[0, 1, 3]|	[]|	[(3, 2, 'k7p')]|	ROOT rojU bayata wiragAli
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k7p'), (3, 1, 'adv')]|	ROOT rojU bayata wiragAli
SHIFT|	[0]|	[1, 2]|	[]|	ROOT gAli wIsukovAli
SHIFT|	[0, 1]|	[2]|	[]|	ROOT gAli wIsukovAli
LEFTARC#k2|	[0, 1, 2]|	[]|	[]|	ROOT gAli wIsukovAli
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k2')]|	ROOT gAli wIsukovAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
LEFTARC#pof|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
LEFTARC#k1|	[0, 1, 2, 4]|	[]|	[(4, 3, 'pof')]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
LEFTARC#rh|	[0, 1, 4]|	[]|	[(4, 3, 'pof'), (4, 2, 'k1')]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'pof'), (4, 2, 'k1'), (4, 1, 'rh')]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT alA wiragadaMlo kodini cUsiMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT alA wiragadaMlo kodini cUsiMxi
LEFTARC#adv|	[0, 1, 2]|	[3, 4]|	[]|	ROOT alA wiragadaMlo kodini cUsiMxi
SHIFT|	[0, 2]|	[3, 4]|	[(2, 1, 'adv')]|	ROOT alA wiragadaMlo kodini cUsiMxi
SHIFT|	[0, 2, 3]|	[4]|	[(2, 1, 'adv')]|	ROOT alA wiragadaMlo kodini cUsiMxi
LEFTARC#k2|	[0, 2, 3, 4]|	[]|	[(2, 1, 'adv')]|	ROOT alA wiragadaMlo kodini cUsiMxi
LEFTARC#k7|	[0, 2, 4]|	[]|	[(2, 1, 'adv'), (4, 3, 'k2')]|	ROOT alA wiragadaMlo kodini cUsiMxi
RIGHTARC#root|	[0, 4]|	[]|	[(2, 1, 'adv'), (4, 3, 'k2'), (4, 2, 'k7')]|	ROOT alA wiragadaMlo kodini cUsiMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT guddu kUcuni
SHIFT|	[0, 1]|	[2]|	[]|	ROOT guddu kUcuni
LEFTARC#k7p|	[0, 1, 2]|	[]|	[]|	ROOT guddu kUcuni
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k7p')]|	ROOT guddu kUcuni
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT rojulu alAge uMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT rojulu alAge uMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT rojulu alAge uMxi
LEFTARC#adv|	[0, 1, 2, 3]|	[]|	[]|	ROOT rojulu alAge uMxi
LEFTARC#k7t|	[0, 1, 3]|	[]|	[(3, 2, 'adv')]|	ROOT rojulu alAge uMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'adv'), (3, 1, 'k7t')]|	ROOT rojulu alAge uMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT kodi levadaM lexu
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT kodi levadaM lexu
LEFTARC#k1|	[0, 1, 2]|	[3]|	[]|	ROOT kodi levadaM lexu
SHIFT|	[0, 2]|	[3]|	[(2, 1, 'k1')]|	ROOT kodi levadaM lexu
LEFTARC#k1|	[0, 2, 3]|	[]|	[(2, 1, 'k1')]|	ROOT kodi levadaM lexu
RIGHTARC#root|	[0, 3]|	[]|	[(2, 1, 'k1'), (3, 2, 'k1')]|	ROOT kodi levadaM lexu
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT mewaku povadaM lexu
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT mewaku povadaM lexu
LEFTARC#rt|	[0, 1, 2]|	[3]|	[]|	ROOT mewaku povadaM lexu
SHIFT|	[0, 2]|	[3]|	[(2, 1, 'rt')]|	ROOT mewaku povadaM lexu
LEFTARC#k1|	[0, 2, 3]|	[]|	[(2, 1, 'rt')]|	ROOT mewaku povadaM lexu
RIGHTARC#root|	[0, 3]|	[]|	[(2, 1, 'rt'), (3, 2, 'k1')]|	ROOT mewaku povadaM lexu
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT roju guddu pilla vacciMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT roju guddu pilla vacciMxi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT roju guddu pilla vacciMxi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT roju guddu pilla vacciMxi
LEFTARC#k1|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT roju guddu pilla vacciMxi
LEFTARC#k5|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k1')]|	ROOT roju guddu pilla vacciMxi
LEFTARC#k7t|	[0, 1, 4]|	[]|	[(4, 3, 'k1'), (4, 2, 'k5')]|	ROOT roju guddu pilla vacciMxi
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k1'), (4, 2, 'k5'), (4, 1, 'k7t')]|	ROOT roju guddu pilla vacciMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT alA gudlu pagilAyi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT alA gudlu pagilAyi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT alA gudlu pagilAyi
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT alA gudlu pagilAyi
LEFTARC#adv|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT alA gudlu pagilAyi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k1'), (3, 1, 'adv')]|	ROOT alA gudlu pagilAyi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT pillalu bayataki vaccAyi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT pillalu bayataki vaccAyi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT pillalu bayataki vaccAyi
LEFTARC#k2p|	[0, 1, 2, 3]|	[]|	[]|	ROOT pillalu bayataki vaccAyi
LEFTARC#k1|	[0, 1, 3]|	[]|	[(3, 2, 'k2p')]|	ROOT pillalu bayataki vaccAyi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k2p'), (3, 1, 'k1')]|	ROOT pillalu bayataki vaccAyi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT kodi vAtini reVkkala xAciMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT kodi vAtini reVkkala xAciMxi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT kodi vAtini reVkkala xAciMxi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT kodi vAtini reVkkala xAciMxi
LEFTARC#k7p|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT kodi vAtini reVkkala xAciMxi
LEFTARC#k2|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k7p')]|	ROOT kodi vAtini reVkkala xAciMxi
LEFTARC#k1|	[0, 1, 4]|	[]|	[(4, 3, 'k7p'), (4, 2, 'k2')]|	ROOT kodi vAtini reVkkala xAciMxi
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k7p'), (4, 2, 'k2'), (4, 1, 'k1')]|	ROOT kodi vAtini reVkkala xAciMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT vAtini vaxali
SHIFT|	[0, 1]|	[2]|	[]|	ROOT vAtini vaxali
LEFTARC#k2|	[0, 1, 2]|	[]|	[]|	ROOT vAtini vaxali
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k2')]|	ROOT vAtini vaxali
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT pAkalo Avu cUdiwo uMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT pAkalo Avu cUdiwo uMxi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT pAkalo Avu cUdiwo uMxi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT pAkalo Avu cUdiwo uMxi
LEFTARC#k4|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT pAkalo Avu cUdiwo uMxi
LEFTARC#k1|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k4')]|	ROOT pAkalo Avu cUdiwo uMxi
LEFTARC#k7p|	[0, 1, 4]|	[]|	[(4, 3, 'k4'), (4, 2, 'k1')]|	ROOT pAkalo Avu cUdiwo uMxi
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k4'), (4, 2, 'k1'), (4, 1, 'k7p')]|	ROOT pAkalo Avu cUdiwo uMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT kadupu peVrigiMxi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT kadupu peVrigiMxi
LEFTARC#k1|	[0, 1, 2]|	[]|	[]|	ROOT kadupu peVrigiMxi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k1')]|	ROOT kadupu peVrigiMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT roju Avu IniMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT roju Avu IniMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT roju Avu IniMxi
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT roju Avu IniMxi
LEFTARC#k7t|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT roju Avu IniMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k1'), (3, 1, 'k7t')]|	ROOT roju Avu IniMxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT xUda kiMxa padi leciMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT xUda kiMxa padi leciMxi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT xUda kiMxa padi leciMxi
LEFTARC#k7p|	[0, 1, 2, 3]|	[4]|	[]|	ROOT xUda kiMxa padi leciMxi
LEFTARC#k1|	[0, 1, 3]|	[4]|	[(3, 2, 'k7p')]|	ROOT xUda kiMxa padi leciMxi
SHIFT|	[0, 3]|	[4]|	[(3, 2, 'k7p'), (3, 1, 'k1')]|	ROOT xUda kiMxa padi leciMxi
LEFTARC#vmod|	[0, 3, 4]|	[]|	[(3, 2, 'k7p'), (3, 1, 'k1')]|	ROOT xUda kiMxa padi leciMxi
RIGHTARC#root|	[0, 4]|	[]|	[(3, 2, 'k7p'), (3, 1, 'k1'), (4, 3, 'vmod')]|	ROOT xUda kiMxa padi leciMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT poVxugu pAlu wAgiMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT poVxugu pAlu wAgiMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT poVxugu pAlu wAgiMxi
LEFTARC#k2|	[0, 1, 2, 3]|	[]|	[]|	ROOT poVxugu pAlu wAgiMxi
LEFTARC#k5|	[0, 1, 3]|	[]|	[(3, 2, 'k2')]|	ROOT poVxugu pAlu wAgiMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k2'), (3, 1, 'k5')]|	ROOT poVxugu pAlu wAgiMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT Avu xUdanu nAkuwoMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT Avu xUdanu nAkuwoMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT Avu xUdanu nAkuwoMxi
LEFTARC#k2|	[0, 1, 2, 3]|	[]|	[]|	ROOT Avu xUdanu nAkuwoMxi
LEFTARC#k1|	[0, 1, 3]|	[]|	[(3, 2, 'k2')]|	ROOT Avu xUdanu nAkuwoMxi
